company,statementDate,quarter,year,accountClassification,account,amount
AMD,2004-12-31,4,2004,5 - Equity,5.1 - Stockholders Equity,3850694000.0
AMD,2003-12-31,4,2003,1 - Current Assets,1.1 - Cash & Cash Equivalents,1185804000.0
AMD,2003-12-31,4,2003,1 - Current Assets,1.2 - Short Term Investments,127563000.0
AMD,2003-12-31,4,2003,1 - Current Assets,1.3 - Accounts Receivable,609457000.0
AMD,2003-12-31,4,2003,1 - Current Assets,1.4 - Inventory,697658000.0
AMD,2003-12-31,4,2003,1 - Current Assets,1.5 - Other Current Assets,279796000.0
AMD,2003-12-31,4,2003,2 - Non-Current Assets,2.1 - Net PPE,3848492000.0
AMD,2003-12-31,4,2003,2 - Non-Current Assets,2.2 - Goodwill,0.0
AMD,2003-12-31,4,2003,2 - Non-Current Assets,2.3 - Other Intangible Assets,0.0
AMD,2003-12-31,4,2003,2 - Non-Current Assets,2.4 - Other Non-Current Assets,345575000.0
AMD,2003-12-31,4,2003,3 - Current Liabilities,3.1 - Accounts Payable,492616000.0
AMD,2003-12-31,4,2003,3 - Current Liabilities,3.2 - Accrued Liabilities,517536000.0
AMD,2003-12-31,4,2003,3 - Current Liabilities,3.3 - Other Current Liabilities,442118000.0
AMD,2003-12-31,4,2003,4 - Non-Current Liabilities,4.1 - Long-Term Debt,1899674000.0
AMD,2003-12-31,4,2003,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,586451000.0
AMD,2003-12-31,4,2003,5 - Equity,5.1 - Stockholders Equity,3155950000.0
AMD,2002-12-31,4,2002,1 - Current Assets,1.1 - Cash & Cash Equivalents,428748000.0
AMD,2002-12-31,4,2002,1 - Current Assets,1.2 - Short Term Investments,608957000.0
AMD,2002-12-31,4,2002,1 - Current Assets,1.3 - Accounts Receivable,395828000.0
AMD,2002-12-31,4,2002,1 - Current Assets,1.4 - Inventory,432603000.0
AMD,2002-12-31,4,2002,1 - Current Assets,1.5 - Other Current Assets,153542000.0
AMD,2002-12-31,4,2002,2 - Non-Current Assets,2.1 - Net PPE,2880809000.0
AMD,2002-12-31,4,2002,2 - Non-Current Assets,2.2 - Goodwill,0.0
AMD,2002-12-31,4,2002,2 - Non-Current Assets,2.3 - Other Intangible Assets,0.0
AMD,2002-12-31,4,2002,2 - Non-Current Assets,2.4 - Other Non-Current Assets,718694000.0
AMD,2002-12-31,4,2002,3 - Current Liabilities,3.1 - Accounts Payable,352438000.0
AMD,2002-12-31,4,2002,3 - Current Liabilities,3.2 - Accrued Liabilities,779522000.0
AMD,2002-12-31,4,2002,3 - Current Liabilities,3.3 - Other Current Liabilities,240119000.0
AMD,2002-12-31,4,2002,4 - Non-Current Liabilities,4.1 - Long-Term Debt,1779837000.0
AMD,2002-12-31,4,2002,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,0.0
AMD,2002-12-31,4,2002,5 - Equity,5.1 - Stockholders Equity,2467265000.0
