company,statementDate,quarter,year,accountClassification,account,amount
AMD,2015-09-30,3,2015,1 - Gross Profit,1.1 - Revenue,1061000000.0
AMD,2015-09-30,3,2015,1 - Gross Profit,1.2 - COGS,-822000000.0
AMD,2015-09-30,3,2015,2 - Operating Expenses,2.1 - SG&A,-108000000.0
AMD,2015-09-30,3,2015,2 - Operating Expenses,2.2 - R&D,-241000000.0
AMD,2015-09-30,3,2015,2 - Operating Expenses,2.3 - Operating Expenses,0.0
AMD,2015-09-30,3,2015,3 - Other Income/Expenses,3.1 - Net Interest Expense,-39000000.0
AMD,2015-09-30,3,2015,3 - Other Income/Expenses,3.2 - Net Other Expenses,-48000000.0
AMD,2015-09-30,3,2015,4 - Taxes,4.1 - Taxes,0.0
AMD,2015-06-30,2,2015,1 - Gross Profit,1.1 - Revenue,942000000.0
AMD,2015-06-30,2,2015,1 - Gross Profit,1.2 - COGS,-710000000.0
AMD,2015-06-30,2,2015,2 - Operating Expenses,2.1 - SG&A,-134000000.0
AMD,2015-06-30,2,2015,2 - Operating Expenses,2.2 - R&D,-235000000.0
AMD,2015-06-30,2,2015,2 - Operating Expenses,2.3 - Operating Expenses,0.0
AMD,2015-06-30,2,2015,3 - Other Income/Expenses,3.1 - Net Interest Expense,-40000000.0
AMD,2015-06-30,2,2015,3 - Other Income/Expenses,3.2 - Net Other Expenses,-3000000.0
AMD,2015-06-30,2,2015,4 - Taxes,4.1 - Taxes,1000000.0
AMD,2015-03-31,1,2015,1 - Gross Profit,1.1 - Revenue,1030000000.0
AMD,2015-03-31,1,2015,1 - Gross Profit,1.2 - COGS,-704000000.0
AMD,2015-03-31,1,2015,2 - Operating Expenses,2.1 - SG&A,-131000000.0
AMD,2015-03-31,1,2015,2 - Operating Expenses,2.2 - R&D,-242000000.0
AMD,2015-03-31,1,2015,2 - Operating Expenses,2.3 - Operating Expenses,-3000000.0
AMD,2015-03-31,1,2015,3 - Other Income/Expenses,3.1 - Net Interest Expense,-40000000.0
AMD,2015-03-31,1,2015,3 - Other Income/Expenses,3.2 - Net Other Expenses,-87000000.0
AMD,2015-03-31,1,2015,4 - Taxes,4.1 - Taxes,3000000.0
AMD,2014-12-31,4,2014,1 - Gross Profit,1.1 - Revenue,1239000000.0
AMD,2014-12-31,4,2014,1 - Gross Profit,1.2 - COGS,-879000000.0
AMD,2014-12-31,4,2014,2 - Operating Expenses,2.1 - SG&A,-144000000.0
AMD,2014-12-31,4,2014,2 - Operating Expenses,2.2 - R&D,-238000000.0
AMD,2014-12-31,4,2014,2 - Operating Expenses,2.3 - Operating Expenses,-4000000.0
AMD,2014-12-31,4,2014,3 - Other Income/Expenses,3.1 - Net Interest Expense,-40000000.0
AMD,2014-12-31,4,2014,3 - Other Income/Expenses,3.2 - Net Other Expenses,-301000000.0
AMD,2014-12-31,4,2014,4 - Taxes,4.1 - Taxes,-3000000.0
AMD,2014-09-30,3,2014,1 - Gross Profit,1.1 - Revenue,1429000000.0
AMD,2014-09-30,3,2014,1 - Gross Profit,1.2 - COGS,-935000000.0
AMD,2014-09-30,3,2014,2 - Operating Expenses,2.1 - SG&A,-150000000.0
AMD,2014-09-30,3,2014,2 - Operating Expenses,2.2 - R&D,-278000000.0
AMD,2014-09-30,3,2014,2 - Operating Expenses,2.3 - Operating Expenses,-3000000.0
AMD,2014-09-30,3,2014,3 - Other Income/Expenses,3.1 - Net Interest Expense,-42000000.0
AMD,2014-09-30,3,2014,3 - Other Income/Expenses,3.2 - Net Other Expenses,-2000000.0
AMD,2014-09-30,3,2014,4 - Taxes,4.1 - Taxes,2000000.0
AMD,2014-06-30,2,2014,1 - Gross Profit,1.1 - Revenue,1441000000.0
AMD,2014-06-30,2,2014,1 - Gross Profit,1.2 - COGS,-943000000.0
AMD,2014-06-30,2,2014,2 - Operating Expenses,2.1 - SG&A,-154000000.0
AMD,2014-06-30,2,2014,2 - Operating Expenses,2.2 - R&D,-277000000.0
AMD,2014-06-30,2,2014,2 - Operating Expenses,2.3 - Operating Expenses,-4000000.0
AMD,2014-06-30,2,2014,3 - Other Income/Expenses,3.1 - Net Interest Expense,-46000000.0
AMD,2014-06-30,2,2014,3 - Other Income/Expenses,3.2 - Net Other Expenses,-49000000.0
AMD,2014-06-30,2,2014,4 - Taxes,4.1 - Taxes,4000000.0
AMD,2014-03-31,1,2014,1 - Gross Profit,1.1 - Revenue,1397000000.0
AMD,2014-03-31,1,2014,1 - Gross Profit,1.2 - COGS,-910000000.0
AMD,2014-03-31,1,2014,2 - Operating Expenses,2.1 - SG&A,-156000000.0
AMD,2014-03-31,1,2014,2 - Operating Expenses,2.2 - R&D,-279000000.0
AMD,2014-03-31,1,2014,2 - Operating Expenses,2.3 - Operating Expenses,-3000000.0
AMD,2014-03-31,1,2014,3 - Other Income/Expenses,3.1 - Net Interest Expense,-46000000.0
AMD,2014-03-31,1,2014,3 - Other Income/Expenses,3.2 - Net Other Expenses,-21000000.0
AMD,2014-03-31,1,2014,4 - Taxes,4.1 - Taxes,2000000.0
AMD,2013-12-31,4,2013,1 - Gross Profit,1.1 - Revenue,1589000000.0
AMD,2013-12-31,4,2013,1 - Gross Profit,1.2 - COGS,-1036000000.0
