Date,Open,High,Low,Close,Adj Close,Volume
2014-02-01,73.669998,76.750000,72.029999,75.290001,59.762604,174516600
2014-03-01,74.620003,79.720001,73.040001,78.860001,62.596352,216723600
2014-04-01,79.419998,81.660004,76.769997,78.709999,62.769089,211047700
2014-05-01,78.529999,80.989998,78.430000,80.449997,64.156700,155682300
2014-06-01,80.660004,80.790001,77.910004,79.199997,63.159863,165763200
2014-07-01,79.349998,81.970001,73.650002,73.720001,59.098225,218582300
2014-08-01,73.669998,77.309998,71.820000,76.099998,61.006184,174438100
2014-09-01,75.919998,77.000000,74.110001,74.769997,60.271568,169942600
2014-10-01,74.639999,78.529999,69.360001,78.510002,63.286373,202994300
2014-11-01,78.309998,78.529999,67.669998,72.900002,58.764179,276346900
2014-12-01,72.459999,75.720001,69.589996,74.330002,60.267136,200659800
2015-01-01,74.510002,75.300003,62.389999,62.459999,50.642868,275059800
2015-02-01,62.490002,72.570000,62.259998,72.510002,58.791454,243792600
2015-03-01,71.800003,74.089996,65.680000,69.339996,56.221207,278695100
2015-04-01,68.470001,71.900002,66.180000,68.000000,55.455944,265601600
2015-05-01,68.309998,71.320000,67.500000,69.680000,56.826042,216503600
2015-06-01,69.510002,70.050003,62.450001,62.630001,51.076572,251772700
2015-07-01,63.099998,66.050003,60.830002,64.389999,52.876133,305330200
2015-08-01,64.349998,64.820000,52.590000,56.580002,46.462692,304479200
2015-09-01,55.250000,56.759998,52.169998,53.730000,44.494053,244619500
2015-10-01,53.599998,61.189999,53.000000,59.419998,49.205963,206115300
2015-11-01,59.700001,61.180000,47.520000,48.790001,40.403210,338781400
2015-12-01,48.750000,53.439999,45.930000,49.990002,41.805630,350968200
2016-01-01,49.430000,50.599998,43.470001,45.340000,37.916927,292170300
2016-02-01,44.709999,52.000000,42.240002,50.790001,42.474659,255057600
2016-03-01,51.080002,53.520000,49.669998,51.139999,43.168774,259198400
2016-04-01,51.080002,53.279999,49.730000,50.520000,42.645409,190898700
2016-05-01,50.689999,56.270000,50.130001,54.919998,46.359581,196181900
2016-06-01,54.500000,55.570000,50.840000,53.570000,45.654102,210703100
2016-07-01,52.990002,62.820000,51.160000,62.580002,53.332722,205890700
2016-08-01,62.369999,63.689999,60.020000,63.070000,53.750313,160486600
2016-09-01,62.869999,70.400002,59.930000,68.500000,58.873463,221603700
2016-10-01,68.080002,71.620003,64.300003,68.720001,59.062550,218422000
2016-11-01,69.000000,69.349998,64.320000,68.129997,58.555458,202069400
2016-12-01,67.720001,70.239998,63.779999,65.199997,56.475521,157341000
2017-01-01,65.860001,67.080002,52.830002,53.430000,46.280479,382359000
2017-02-01,53.639999,57.310001,52.369999,56.480000,48.922348,213744100
2017-03-01,56.930000,59.040001,56.000000,57.340000,50.131622,195223400
2017-04-01,57.259998,57.529999,51.049999,53.740002,46.984192,246460200
2017-05-01,53.650002,59.889999,52.900002,57.270000,50.070419,261377900
2017-06-01,57.450001,59.049999,54.549999,55.220001,48.753582,194828100
2017-07-01,55.529999,56.939999,52.230000,53.189999,46.961292,175178800
2017-08-01,53.299999,54.099998,51.279999,52.270000,46.149036,180627700
2017-09-01,52.529999,52.770000,48.919998,51.840000,46.276360,168220900
2017-10-01,52.090000,54.770000,50.020000,51.009998,45.535431,176751700
2017-11-01,51.470001,69.279999,50.509998,66.339996,59.220154,434567900
2017-12-01,65.199997,66.120003,63.799999,64.019997,57.631248,169187300
2018-01-01,64.379997,68.900002,64.169998,68.250000,61.439117,181601100
2018-02-01,67.000000,68.349998,60.500000,65.000000,58.513451,311057400
2018-03-01,65.029999,66.239998,53.650002,55.410000,50.308594,320661200
2018-04-01,55.099998,56.790001,48.560001,51.009998,46.313686,207468300
2018-05-01,50.759998,60.000000,49.310001,58.119999,52.769093,237099800
2018-06-01,58.340000,62.650002,55.090000,56.119999,51.485588,188075700
2018-07-01,55.400002,64.660004,55.119999,64.089996,58.797421,208751100
2018-08-01,63.549999,70.489998,63.549999,68.709999,63.035896,265339500
2018-09-01,68.739998,76.500000,68.709999,72.029999,66.081749,290784100
2018-10-01,72.459999,73.910004,61.180000,62.889999,58.221889,341624700
2018-11-01,63.200001,64.339996,53.529999,58.259998,53.935555,396206800
2018-12-01,60.509998,60.509998,53.509998,56.910000,52.685760,308069000
2019-01-01,56.200001,58.169998,49.099998,49.520000,46.341995,381565000
2019-02-01,49.580002,53.970001,49.400002,53.389999,49.963631,242230300
2019-03-01,54.000000,58.389999,53.029999,57.029999,53.370022,261437100
2019-04-01,57.639999,88.629997,55.790001,86.129997,81.539734,618272400
2019-05-01,87.169998,90.339996,64.760002,66.820000,63.258858,492653200
2019-06-01,67.089996,76.440002,65.830002,76.070000,72.015892,250977300
2019-07-01,80.669998,80.760002,72.760002,73.160004,69.894051,241910800
2019-08-01,68.879997,79.099998,67.120003,77.769997,74.298256,235386600
2019-09-01,76.769997,80.440002,74.629997,76.279999,72.874763,127860300
2019-10-01,77.059998,83.129997,72.809998,80.440002,77.459213,134509300
2019-11-01,81.589996,94.110001,81.250000,83.550003,80.453964,232426900
2019-12-01,83.980003,90.459999,79.809998,88.230003,84.960541,170341600
2020-01-01,89.050003,96.169998,85.040001,85.309998,82.785721,202806800
2020-02-01,85.550003,92.440002,73.339996,78.300003,75.983147,220372900
2020-03-01,79.019997,82.650002,58.000000,67.650002,65.648270,322085700
2020-04-01,65.000000,80.870003,64.550003,78.669998,76.949478,215849600
2020-05-01,76.849998,81.959999,74.089996,80.879997,79.111145,198194100
2020-06-01,79.889999,92.139999,79.239998,91.209999,89.215233,222750600
2020-07-01,91.010002,107.750000,87.510002,105.610001,104.099846,200145300
2020-08-01,107.400002,121.059998,104.739998,119.099998,117.396942,206061400
2020-09-01,121.080002,123.930000,108.300003,117.680000,115.997246,179884700
2020-10-01,119.930000,132.419998,115.430000,123.360001,122.247292,147898800
2020-11-01,124.500000,153.330002,122.410004,147.169998,145.842529,188777000
2020-12-01,148.789993,161.070007,141.889999,152.339996,150.965881,176243300
2021-01-01,153.009995,167.940002,147.139999,156.279999,155.538742,140824900
2021-02-01,157.369995,167.580002,134.440002,136.190002,135.544037,261826800
2021-03-01,137.500000,140.100006,122.989998,131.270004,130.647369,238939200
