name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989
		PensionandOtherPostRetirementBenefitPlansCurrent,"99,197,000","120,658,000","95,316,000","81,701,000","73,823,000","79,312,000","90,865,000","66,967,000","6,532,000","125,582,000",,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"510,369,000",,"499,186,000","456,328,000","587,106,000","576,053,000","565,001,000",,,,,,,,,,,,,,,,,,"986,000","21,800,000","1,400,000","1,800,000","2,100,000","1,700,000","1,100,000","1,000,000"
			CurrentDebt,"499,260,000",,"499,186,000","456,328,000","587,106,000","576,053,000","565,001,000",,,,,,,,,,,,,,,,,,"986,000","21,800,000","1,400,000","1,800,000","2,100,000","1,700,000","1,100,000","1,000,000"
				OtherCurrentBorrowings,"499,260,000",,"499,186,000","456,328,000","587,106,000","576,053,000","565,001,000",,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"11,109,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"121,936,000","118,560,000","128,600,000","142,677,000","125,938,000","136,234,000","114,668,000","103,770,000","112,139,000","99,763,000","117,163,000","62,364,000","111,678,000","89,052,000","126,558,000","102,511,000","150,979,000","120,831,000",,,,,,,,,,,,,,
			CurrentDeferredTaxesLiabilities,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,,,"25,166,000","54,567,000","51,758,000","66,071,000","55,099,000","53,358,000","67,002,000","99,763,000","80,132,000","62,364,000","111,678,000","89,052,000","126,558,000","102,511,000","150,979,000","120,831,000",,,,,,,,,,,,,,
		OtherCurrentLiabilities,,,,,"1,417,000","9,320,000",,"53,358,000","25,730,000",,,,"39,258,000","60,117,000","61,376,000","45,835,000","60,430,000","85,198,000","141,561,000","216,960,000","158,555,000","123,648,000","77,989,000","52,577,000","42,743,000","31,800,000","38,900,000","27,700,000","24,100,000","17,500,000","4,400,000","6,300,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,292,604,000","1,814,803,000","1,788,249,000","1,334,297,000","1,274,281,000","1,299,318,000","1,260,308,000","1,379,367,000","1,413,661,000","1,358,093,000","706,687,000","854,549,000","1,124,618,000","1,103,246,000","99,638,000","67,294,000","73,281,000","157,103,000","235,780,000","233,470,000","327,272,000","23,733,000","265,406,000","259,760,000","250,000,000","800,000","2,200,000","3,900,000","4,900,000","3,800,000","2,000,000","1,800,000"
