name,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999
			RawMaterials,"632,000,000","249,000,000","613,000,000","227,000,000","252,000,000","105,000,000","156,846,000","126,896,000","164,324,000","84,927,000","67,880,000","76,935,000","27,804,000","31,299,000","56,261,000","25,743,000","23,225,000","22,131,000","17,510,000",,,,
			WorkInProcess,"457,000,000","265,000,000","238,000,000","192,000,000","176,000,000","103,000,000","91,778,000","94,844,000","67,628,000","62,934,000","72,698,000","67,502,000","132,960,000","107,835,000","111,058,000","107,847,000","130,211,000","44,523,000","13,179,000",,,,
			FinishedGoods,"737,000,000","465,000,000","724,000,000","377,000,000","366,000,000","210,000,000","234,269,000","166,025,000","187,734,000","192,436,000","204,947,000","186,237,000","377,070,000","219,387,000","187,361,000","121,202,000","162,082,000","167,584,000","114,357,000",,,,
		PrepaidAssets,"239,000,000","157,000,000","136,000,000","86,000,000","118,000,000","93,000,000","70,174,000","70,285,000","34,436,000","29,946,000","32,636,000","38,214,000","39,794,000","43,068,000","31,141,000","24,387,000","19,819,000","14,539,000","23,642,000","8,078,000",,,
		RestrictedCash,,,,,,,,,,,,,,,,,,,,"7,000,000",,,
		CurrentDeferredAssets,,,,,,"0","63,254,000","68,494,000","103,736,000","49,931,000","9,456,000","8,752,000","16,505,000","11,268,000","9,419,000","1,393,000","3,265,000","3,261,000",,"66,429,000",,,
			CurrentDeferredTaxesAssets,,,,,,"0","63,254,000","68,494,000","103,736,000","49,931,000","9,456,000","8,752,000","16,505,000","11,268,000","9,419,000","1,393,000","3,265,000","3,261,000",,"66,429,000",,,
		OtherCurrentAssets,,,,,,,,,"35,265,000","19,465,000","2,490,563,000","1,728,227,000",,,,,,,,,"61,241,000","6,800,000","1,600,000"
	TotalNonCurrentAssets,"12,736,000,000","3,625,000,000","2,735,000,000","1,986,000,000","1,305,000,000","1,317,000,000","1,488,071,000","1,626,183,000","1,636,987,000","1,647,570,000","1,268,296,000","1,105,088,000","1,182,769,000","858,842,000","643,493,000","366,367,000","323,610,000","346,632,000","265,413,000","269,065,000","86,018,000","29,100,000","12,200,000"
		NetPPE,"2,856,000,000","2,292,000,000","1,404,000,000","997,000,000","521,000,000","466,000,000","557,282,000","582,740,000","576,144,000","560,072,000","568,857,000","571,858,000","625,798,000","359,808,000","260,828,000","178,152,000","178,955,000","190,029,000","135,152,000","120,128,000","47,280,000","25,900,000","11,700,000"
